function,description
EC:3.1.3.82,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase"
EC:3.1.3.83,"D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase"
EC:3.1.3.87,2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
EC:3.1.3.89,5'-deoxynucleotidase
EC:3.1.3.90,Maltose 6'-phosphate phosphatase
EC:3.1.3.92,Kanosamine-6-phosphate phosphatase
EC:3.1.3.93,L-galactose 1-phosphate phosphatase
EC:3.1.30.1,Aspergillus nuclease S(1)
EC:3.1.31.1,Micrococcal nuclease
EC:3.1.4.1,Phosphodiesterase I
EC:3.1.4.12,Sphingomyelin phosphodiesterase
EC:3.1.4.14,[Acyl-carrier-protein] phosphodiesterase
EC:3.1.4.16,"2',3'-cyclic-nucleotide 2'-phosphodiesterase"
EC:3.1.4.17,"3',5'-cyclic-nucleotide phosphodiesterase"
EC:3.1.4.3,Phospholipase C
EC:3.1.4.37,"2',3'-cyclic-nucleotide 3'-phosphodiesterase"
EC:3.1.4.4,Phospholipase D
EC:3.1.4.46,Glycerophosphodiester phosphodiesterase
EC:3.1.4.52,Cyclic-guanylate-specific phosphodiesterase
EC:3.1.4.54,N-acetylphosphatidylethanolamine-hydrolyzing phospholipase D
EC:3.1.4.55,"Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase"
EC:3.1.5.1,dGTPase
EC:3.1.6.1,Arylsulfatase
EC:3.1.6.12,N-acetylgalactosamine-4-sulfatase
EC:3.1.6.13,Iduronate-2-sulfatase
EC:3.1.6.14,N-acetylglucosamine-6-sulfatase
EC:3.1.6.4,N-acetylgalactosamine-6-sulfatase
EC:3.1.6.6,Choline-sulfatase
EC:3.1.6.8,Cerebroside-sulfatase
EC:3.1.7.2,"Guanosine-3',5'-bis(diphosphate) 3'-diphosphatase"
EC:3.10.1.1,N-sulfoglucosamine sulfohydrolase
EC:3.11.1.1,Phosphonoacetaldehyde hydrolase
EC:3.11.1.2,Phosphonoacetate hydrolase
EC:3.11.1.3,Phosphonopyruvate hydrolase
EC:3.13.1.1,UDP-sulfoquinovose synthase
EC:3.13.1.3,2'-hydroxybiphenyl-2-sulfinate desulfinase
EC:3.2.1.1,Alpha-amylase
EC:3.2.1.10,"Oligo-1,6-glucosidase"
EC:3.2.1.11,Dextranase
EC:3.2.1.113,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase"
EC:3.2.1.122,Maltose-6'-phosphate glucosidase
EC:3.2.1.123,Endoglycosylceramidase
EC:3.2.1.130,"Glycoprotein endo-alpha-1,2-mannosidase"
EC:3.2.1.132,Chitosanase
EC:3.2.1.135,Neopullulanase
EC:3.2.1.136,"Glucuronoarabinoxylan endo-1,4-beta-xylanase"
EC:3.2.1.139,Alpha-glucuronidase
EC:3.2.1.14,Chitinase
EC:3.2.1.141,4-alpha-D-((1->4)-alpha-D-glucano)trehalose trehalohydrolase
EC:3.2.1.143,Poly(ADP-ribose) glycohydrolase
EC:3.2.1.15,Polygalacturonase
EC:3.2.1.156,Oligosaccharide reducing-end xylanase
EC:3.2.1.164,"Galactan endo-1,6-beta-galactosidase"
EC:3.2.1.165,"Exo-1,4-beta-D-glucosaminidase"
EC:3.2.1.17,Lysozyme
EC:3.2.1.170,Mannosylglycerate hydrolase
EC:3.2.1.172,Unsaturated rhamnogalacturonyl hydrolase
EC:3.2.1.177,Alpha-D-xyloside xylohydrolase
EC:3.2.1.18,Exo-alpha-sialidase
EC:3.2.1.180,Unsaturated chondroitin disaccharide hydrolase
EC:3.2.1.183,UDP-N-acetylglucosamine 2-epimerase (hydrolyzing)
EC:3.2.1.184,"UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolyzing)"
EC:3.2.1.20,Alpha-glucosidase
EC:3.2.1.21,Beta-glucosidase
EC:3.2.1.22,Alpha-galactosidase
EC:3.2.1.23,Beta-galactosidase
EC:3.2.1.24,Alpha-mannosidase
EC:3.2.1.25,Beta-mannosidase
EC:3.2.1.26,Beta-fructofuranosidase
EC:3.2.1.28,"Alpha,alpha-trehalase"
EC:3.2.1.3,"Glucan 1,4-alpha-glucosidase"
EC:3.2.1.31,Beta-glucuronidase
EC:3.2.1.35,Hyaluronoglucosaminidase
EC:3.2.1.37,"Xylan 1,4-beta-xylosidase"
EC:3.2.1.4,Cellulase
EC:3.2.1.40,Alpha-L-rhamnosidase
EC:3.2.1.41,Pullulanase
EC:3.2.1.45,Glucosylceramidase
EC:3.2.1.50,Alpha-N-acetylglucosaminidase
EC:3.2.1.51,Alpha-L-fucosidase
EC:3.2.1.52,Beta-N-acetylhexosaminidase
EC:3.2.1.54,Cyclomaltodextrinase
EC:3.2.1.55,Non-reducing end alpha-L-arabinofuranosidase
EC:3.2.1.58,"Glucan 1,3-beta-glucosidase"
EC:3.2.1.64,"2,6-beta-fructan 6-levanbiohydrolase"
EC:3.2.1.65,Levanase
EC:3.2.1.68,Isoamylase
EC:3.2.1.70,"Glucan 1,6-alpha-glucosidase"
EC:3.2.1.73,Licheninase
EC:3.2.1.76,L-iduronidase
EC:3.2.1.78,"Mannan endo-1,4-beta-mannosidase"
EC:3.2.1.8,"Endo-1,4-beta-xylanase"
EC:3.2.1.80,Fructan beta-fructosidase
EC:3.2.1.81,Beta-agarase
EC:3.2.1.82,Exo-poly-alpha-galacturonosidase
EC:3.2.1.85,6-phospho-beta-galactosidase
EC:3.2.1.86,6-phospho-beta-glucosidase
EC:3.2.1.89,"Arabinogalactan endo-beta-1,4-galactanase"
EC:3.2.1.91,"Cellulose 1,4-beta-cellobiosidase (non-reducing end)"
EC:3.2.1.93,"Alpha,alpha-phosphotrehalase"
EC:3.2.1.96,Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
EC:3.2.1.97,Endo-alpha-N-acetylgalactosaminidase
EC:3.2.1.99,"Arabinan endo-1,5-alpha-L-arabinosidase"
EC:3.2.2.1,Purine nucleosidase
EC:3.2.2.20,DNA-3-methyladenine glycosylase I
EC:3.2.2.21,DNA-3-methyladenine glycosylase II
EC:3.2.2.23,DNA-formamidopyrimidine glycosylase
EC:3.2.2.24,ADP-ribosyl-[dinitrogen reductase] hydrolase
EC:3.2.2.26,Futalosine hydrolase
EC:3.2.2.27,Uracil-DNA glycosylase
EC:3.2.2.30,Aminodeoxyfutalosine nucleosidase
EC:3.2.2.4,AMP nucleosidase
EC:3.2.2.8,Ribosylpyrimidine nucleosidase
EC:3.2.2.9,Adenosylhomocysteine nucleosidase
EC:3.3.1.1,Adenosylhomocysteinase
EC:3.3.2.1,Isochorismatase
EC:3.3.2.12,Oxepin-CoA hydrolase
EC:3.3.2.2,Alkenylglycerophosphocholine hydrolase
EC:3.3.2.5,Alkenylglycerophosphoethanolamine hydrolase
EC:3.3.2.8,"Limonene-1,2-epoxide hydrolase"
EC:3.3.2.9,Microsomal epoxide hydrolase
EC:3.4.11.1,Leucyl aminopeptidase
EC:3.4.11.10,Bacterial leucyl aminopeptidase
EC:3.4.11.14,Cytosol alanyl aminopeptidase
EC:3.4.11.18,Methionyl aminopeptidase
EC:3.4.11.19,D-stereospecific aminopeptidase
EC:3.4.11.2,Membrane alanyl aminopeptidase
EC:3.4.11.21,Aspartyl aminopeptidase
EC:3.4.11.23,PepB aminopeptidase
EC:3.4.11.24,Aminopeptidase S
EC:3.4.11.4,Tripeptide aminopeptidase
EC:3.4.11.5,Prolyl aminopeptidase
EC:3.4.11.6,Aminopeptidase B
EC:3.4.11.7,Glutamyl aminopeptidase
EC:3.4.11.9,Xaa-Pro aminopeptidase
EC:3.4.13.19,Membrane dipeptidase
EC:3.4.13.21,Dipeptidase E
EC:3.4.13.22,D-Ala-D-Ala dipeptidase
EC:3.4.13.9,Xaa-Pro dipeptidase
EC:3.4.14.11,Xaa-Pro dipeptidyl-peptidase
EC:3.4.14.12,Xaa-Xaa-Pro tripeptidyl-peptidase
EC:3.4.14.4,Dipeptidyl-peptidase III
EC:3.4.14.5,Dipeptidyl-peptidase IV
EC:3.4.15.1,Peptidyl-dipeptidase A
EC:3.4.15.5,Peptidyl-dipeptidase Dcp
EC:3.4.15.6,Cyanophycinase
EC:3.4.16.4,Serine-type D-Ala-D-Ala carboxypeptidase
EC:3.4.17.11,Glutamate carboxypeptidase
EC:3.4.17.13,Muramoyltetrapeptide carboxypeptidase
EC:3.4.17.14,Zinc D-Ala-D-Ala carboxypeptidase
EC:3.4.17.18,Carboxypeptidase T
EC:3.4.17.19,Carboxypeptidase Taq
EC:3.4.17.21,Glutamate carboxypeptidase II
EC:3.4.17.22,Metallocarboxypeptidase D
EC:3.4.19.1,Acylaminoacyl-peptidase
EC:3.4.19.11,Gamma-D-glutamyl-meso-diaminopimelate peptidase
EC:3.4.19.13,Glutathione hydrolase
EC:3.4.19.3,Pyroglutamyl-peptidase I
EC:3.4.19.5,Beta-aspartyl-peptidase
EC:3.4.21.100,Sedolisin
EC:3.4.21.101,Xanthomonalisin
EC:3.4.21.102,C-terminal processing peptidase
EC:3.4.21.105,Rhomboid protease
EC:3.4.21.107,Peptidase Do
EC:3.4.21.110,C5a peptidase
EC:3.4.21.116,SpoIVB peptidase
EC:3.4.21.19,Glutamyl endopeptidase
EC:3.4.21.26,Prolyl oligopeptidase
EC:3.4.21.4,Trypsin
EC:3.4.21.53,Endopeptidase La
EC:3.4.21.59,Tryptase
EC:3.4.21.62,Subtilisin
EC:3.4.21.66,Thermitase
EC:3.4.21.72,IgA-specific serine endopeptidase
EC:3.4.21.81,Streptogrisin B
EC:3.4.21.83,Oligopeptidase B
EC:3.4.21.88,Repressor LexA
EC:3.4.21.89,Signal peptidase I
EC:3.4.21.92,Endopeptidase Clp
EC:3.4.21.96,Lactocepin
EC:3.4.22.37,Gingipain R
EC:3.4.22.4,Transferred entry: 3.4.22.32 and 3.4.22.33
EC:3.4.22.40,Bleomycin hydrolase
EC:3.4.22.48,Staphopain
EC:3.4.22.70,Sortase A
EC:3.4.22.8,Clostripain
EC:3.4.23.36,Signal peptidase II
EC:3.4.23.43,Prepilin peptidase
EC:3.4.23.48,Plasminogen activator Pla
EC:3.4.23.49,Omptin
EC:3.4.23.51,HycI peptidase
EC:3.4.23.52,Preflagellin peptidase
EC:3.4.24.11,Neprilysin
EC:3.4.24.13,IgA-specific metalloendopeptidase
EC:3.4.24.15,Thimet oligopeptidase
EC:3.4.24.20,Peptidyl-Lys metalloendopeptidase
EC:3.4.24.25,Vibriolysin
EC:3.4.24.26,Pseudolysin
EC:3.4.24.27,Thermolysin
EC:3.4.24.28,Bacillolysin
EC:3.4.24.29,Aureolysin
EC:3.4.24.3,Microbial collagenase
EC:3.4.24.40,Serralysin
EC:3.4.24.55,Pitrilysin
EC:3.4.24.56,Insulysin
EC:3.4.24.69,Bontoxilysin
EC:3.4.24.70,Oligopeptidase A
EC:3.4.24.71,Endothelin-converting enzyme 1
EC:3.4.24.75,Lysostaphin
EC:3.4.24.77,Snapalysin
EC:3.4.24.78,GPR endopeptidase
EC:3.4.24.84,Ste24 endopeptidase
EC:3.4.25.1,Proteasome endopeptidase complex
EC:3.4.25.2,HslU--HslV peptidase
EC:3.5.1.1,Asparaginase
EC:3.5.1.10,Formyltetrahydrofolate deformylase
EC:3.5.1.100,(R)-amidase
EC:3.5.1.101,L-proline amide hydrolase
EC:3.5.1.102,deformylase
EC:3.5.1.103,deacetylase
EC:3.5.1.105,Chitin disaccharide deacetylase
EC:3.5.1.106,N-formylmaleamate deformylase
EC:3.5.1.107,Maleamate amidohydrolase
EC:3.5.1.108,UDP-3-O-acyl-N-acetylglucosamine deacetylase
EC:3.5.1.11,Penicillin amidase
EC:3.5.1.110,Peroxyureidoacrylate/ureidoacrylate amidohydrolase
EC:3.5.1.114,N-acyl-aromatic-L-amino acid amidohydrolase
EC:3.5.1.115,Mycothiol S-conjugate amidase
EC:3.5.1.116,Ureidoglycolate amidohydrolase
EC:3.5.1.118,Gamma-glutamyl hercynylcysteine S-oxide hydrolase
EC:3.5.1.15,Aspartoacylase
EC:3.5.1.16,Acetylornithine deacetylase
EC:3.5.1.18,Succinyl-diaminopimelate desuccinylase
EC:3.5.1.19,Nicotinamidase
EC:3.5.1.2,Glutaminase
EC:3.5.1.23,Ceramidase
EC:3.5.1.24,Choloylglycine hydrolase
EC:3.5.1.25,N-acetylglucosamine-6-phosphate deacetylase
EC:3.5.1.26,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase
EC:3.5.1.28,N-acetylmuramoyl-L-alanine amidase
EC:3.5.1.29,2-(acetamidomethylene)succinate hydrolase
EC:3.5.1.32,Hippurate hydrolase
EC:3.5.1.38,Glutamin-(asparagin-)ase
EC:3.5.1.4,Amidase
EC:3.5.1.41,Chitin deacetylase
EC:3.5.1.42,Nicotinamide-nucleotide amidase
EC:3.5.1.44,Protein-glutamine glutaminase
EC:3.5.1.46,6-aminohexanoate-oligomer exohydrolase
EC:3.5.1.47,N-acetyldiaminopimelate deacetylase
EC:3.5.1.49,Formamidase
EC:3.5.1.5,Urease
EC:3.5.1.53,N-carbamoylputrescine amidase
EC:3.5.1.54,Allophanate hydrolase
EC:3.5.1.56,"N,N-dimethylformamidase"
EC:3.5.1.59,N-carbamoylsarcosine amidase
EC:3.5.1.68,N-formylglutamate deformylase
EC:3.5.1.77,N-carbamoyl-D-amino-acid hydrolase
EC:3.5.1.78,Glutathionylspermidine amidase
EC:3.5.1.81,N-acyl-D-amino-acid deacylase
EC:3.5.1.82,N-acyl-D-glutamate deacylase
EC:3.5.1.86,Mandelamide amidase
EC:3.5.1.87,N-carbamoyl-L-amino-acid hydrolase
EC:3.5.1.88,Peptide deformylase
EC:3.5.1.9,Arylformamidase
EC:3.5.1.90,Adenosylcobinamide hydrolase
EC:3.5.1.94,Gamma-glutamyl-gamma-aminobutyrate hydrolase
EC:3.5.1.96,Succinylglutamate desuccinylase
EC:3.5.1.97,Acyl-homoserine-lactone acylase
EC:3.5.1.98,Histone deacetylase
EC:3.5.1.99,Fatty acid amide hydrolase
EC:3.5.2.10,Creatininase
EC:3.5.2.12,6-aminohexanoate-cyclic-dimer hydrolase
EC:3.5.2.14,N-methylhydantoinase (ATP-hydrolyzing)
EC:3.5.2.15,Cyanuric acid amidohydrolase
EC:3.5.2.17,Hydroxyisourate hydrolase
EC:3.5.2.18,Enamidase
EC:3.5.2.2,Dihydropyrimidinase
EC:3.5.2.3,Dihydroorotase
EC:3.5.2.5,Allantoinase
EC:3.5.2.6,Beta-lactamase
EC:3.5.2.7,Imidazolonepropionase
EC:3.5.2.9,5-oxoprolinase (ATP-hydrolyzing)
EC:3.5.3.1,Arginase
EC:3.5.3.11,Agmatinase
EC:3.5.3.12,Agmatine deiminase
EC:3.5.3.13,Formimidoylglutamate deiminase
EC:3.5.3.15,Protein-arginine deiminase
EC:3.5.3.17,Guanidinopropionase
EC:3.5.3.18,Dimethylargininase
EC:3.5.3.22,Proclavaminate amidinohydrolase
EC:3.5.3.23,N-succinylarginine dihydrolase
EC:3.5.3.25,N(omega)-hydroxy-L-arginine amidinohydrolase
EC:3.5.3.26,(S)-ureidoglycine aminohydrolase
EC:3.5.3.3,Creatinase
EC:3.5.3.4,Allantoicase
EC:3.5.3.6,Arginine deiminase
EC:3.5.3.7,Guanidinobutyrase
EC:3.5.3.8,Formimidoylglutamase
EC:3.5.3.9,Allantoate deiminase
EC:3.5.4.1,Cytosine deaminase
EC:3.5.4.10,IMP cyclohydrolase
EC:3.5.4.12,dCMP deaminase
EC:3.5.4.13,dCTP deaminase
EC:3.5.4.16,GTP cyclohydrolase I
EC:3.5.4.19,Phosphoribosyl-AMP cyclohydrolase
EC:3.5.4.2,Adenine deaminase
EC:3.5.4.21,Creatinine deaminase
EC:3.5.4.25,GTP cyclohydrolase II
EC:3.5.4.26,Diaminohydroxyphosphoribosylaminopyrimidine deaminase
EC:3.5.4.27,Methenyltetrahydromethanopterin cyclohydrolase
EC:3.5.4.28,S-adenosylhomocysteine deaminase
EC:3.5.4.29,GTP cyclohydrolase IIa
EC:3.5.4.3,Guanine deaminase
EC:3.5.4.31,S-methyl-5'-thioadenosine deaminase
EC:3.5.4.32,8-oxoguanine deaminase
EC:3.5.4.33,tRNA(adenine(34)) deaminase
EC:3.5.4.39,GTP cyclohydrolase IV
EC:3.5.4.4,Adenosine deaminase
EC:3.5.4.40,Aminodeoxyfutalosine deaminase
EC:3.5.4.5,Cytidine deaminase
EC:3.5.4.9,Methenyltetrahydrofolate cyclohydrolase
EC:3.5.5.1,Nitrilase
EC:3.5.5.7,Aliphatic nitrilase
EC:3.5.99.10,2-iminobutanoate/2-iminopropanoate deaminase
EC:3.5.99.2,Aminopyrimidine aminohydrolase
EC:3.5.99.3,Hydroxydechloroatrazine ethylaminohydrolase
EC:3.5.99.5,2-aminomuconate deaminase
EC:3.5.99.6,Glucosamine-6-phosphate deaminase
EC:3.5.99.7,1-aminocyclopropane-1-carboxylate deaminase
EC:3.6.1.1,Inorganic diphosphatase
EC:3.6.1.11,Exopolyphosphatase
EC:3.6.1.13,ADP-ribose diphosphatase
EC:3.6.1.15,Nucleoside-triphosphate phosphatase
EC:3.6.1.21,ADP-sugar diphosphatase
EC:3.6.1.22,NAD(+) diphosphatase
EC:3.6.1.23,dUTP diphosphatase
EC:3.6.1.25,Triphosphatase
EC:3.6.1.26,CDP-diacylglycerol diphosphatase
EC:3.6.1.27,Undecaprenyl-diphosphate phosphatase
EC:3.6.1.31,Phosphoribosyl-ATP diphosphatase
EC:3.6.1.40,"Guanosine-5'-triphosphate,3'-diphosphate diphosphatase"
EC:3.6.1.41,Bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
EC:3.6.1.45,UDP-sugar diphosphatase
EC:3.6.1.5,Apyrase
EC:3.6.1.54,"UDP-2,3-diacylglucosamine diphosphatase"
EC:3.6.1.55,8-oxo-dGTP diphosphatase
EC:3.6.1.57,"UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase"
EC:3.6.1.6,Nucleoside diphosphate phosphatase
EC:3.6.1.61,Diadenosine hexaphosphate hydrolase (ATP-forming)
EC:3.6.1.63,Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
EC:3.6.1.65,(d)CTP diphosphatase
EC:3.6.1.66,XTP/dITP diphosphatase
EC:3.6.1.7,Acylphosphatase
EC:3.6.1.8,ATP diphosphatase
EC:3.6.1.9,Nucleotide diphosphatase
EC:3.6.3.12,Potassium-transporting ATPase
EC:3.6.3.14,H(+)-transporting two-sector ATPase
EC:3.6.3.16,Arsenite-transporting ATPase
EC:3.6.3.17,Monosaccharide-transporting ATPase
EC:3.6.3.2,Magnesium-importing ATPase
EC:3.6.3.20,Glycerol-3-phosphate-transporting ATPase
EC:3.6.3.21,Polar-amino-acid-transporting ATPase
EC:3.6.3.22,Nonpolar-amino-acid-transporting ATPase
EC:3.6.3.24,Nickel-transporting ATPase
EC:3.6.3.25,Sulfate-transporting ATPase
EC:3.6.3.27,Phosphate-transporting ATPase
EC:3.6.3.28,Phosphonate-transporting ATPase
EC:3.6.3.29,Molybdate-transporting ATPase
EC:3.6.3.3,Cadmium-exporting ATPase
EC:3.6.3.30,Fe(3+)-transporting ATPase
EC:3.6.3.31,Polyamine-transporting ATPase
EC:3.6.3.32,Quaternary-amine-transporting ATPase
EC:3.6.3.33,Vitamin B12-transporting ATPase
EC:3.6.3.34,Iron-chelate-transporting ATPase
EC:3.6.3.36,Taurine-transporting ATPase
EC:3.6.3.4,Cu(2+)-exporting ATPase
EC:3.6.3.40,Teichoic-acid-transporting ATPase
EC:3.6.3.41,Heme-transporting ATPase
EC:3.6.3.44,Xenobiotic-transporting ATPase
EC:3.6.3.5,Zinc-exporting ATPase
EC:3.6.3.54,Cu(+) exporting ATPase
EC:3.6.3.55,Tungstate-importing ATPase
EC:3.6.3.6,Proton-exporting ATPase
EC:3.6.3.8,Calcium-transporting ATPase
EC:3.6.3.9,Sodium/potassium-exchanging ATPase
EC:3.6.4.12,DNA helicase
EC:3.6.4.13,RNA helicase
EC:3.6.4.6,Vesicle-fusing ATPase
EC:3.7.1.12,Cobalt-precorrin 5A hydrolase
EC:3.7.1.14,"2-hydroxy-6-oxonona-2,4-dienedioate hydrolase"
EC:3.7.1.17,hydrolase
EC:3.7.1.19,"2,6-dihydroxypseudooxynicotine hydrolase"
EC:3.7.1.2,Fumarylacetoacetase
EC:3.7.1.20,3-fumarylpyruvate hydrolase
EC:3.7.1.21,6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase
EC:3.7.1.22,"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)"
EC:3.7.1.3,Kynureninase
EC:3.7.1.5,Acylpyruvate hydrolase
EC:3.7.1.9,2-hydroxymuconate-6-semialdehyde hydrolase
EC:3.8.1.2,(S)-2-haloacid dehalogenase
EC:3.8.1.3,Haloacetate dehalogenase
EC:3.8.1.5,Haloalkane dehalogenase
EC:4.1.1.1,Pyruvate decarboxylase
EC:4.1.1.11,Aspartate 1-decarboxylase
EC:4.1.1.12,Aspartate 4-decarboxylase
EC:4.1.1.15,Glutamate decarboxylase
EC:4.1.1.17,Ornithine decarboxylase
EC:4.1.1.18,Lysine decarboxylase
EC:4.1.1.19,Arginine decarboxylase
EC:4.1.1.2,Oxalate decarboxylase
EC:4.1.1.20,Diaminopimelate decarboxylase
EC:4.1.1.21,Phosphoribosylaminoimidazole carboxylase
EC:4.1.1.22,Histidine decarboxylase
EC:4.1.1.23,Orotidine-5'-phosphate decarboxylase
EC:4.1.1.25,Tyrosine decarboxylase
EC:4.1.1.28,Aromatic-L-amino-acid decarboxylase
EC:4.1.1.29,Sulfinoalanine decarboxylase
EC:4.1.1.3,Oxaloacetate decarboxylase
EC:4.1.1.31,Phosphoenolpyruvate carboxylase
EC:4.1.1.32,Phosphoenolpyruvate carboxykinase (GTP)
EC:4.1.1.33,Diphosphomevalonate decarboxylase
EC:4.1.1.35,UDP-glucuronate decarboxylase
EC:4.1.1.36,Phosphopantothenoylcysteine decarboxylase
EC:4.1.1.37,Uroporphyrinogen decarboxylase
EC:4.1.1.39,Ribulose-bisphosphate carboxylase
EC:4.1.1.4,Acetoacetate decarboxylase
EC:4.1.1.41,Methylmalonyl-CoA decarboxylase
EC:4.1.1.44,4-carboxymuconolactone decarboxylase
EC:4.1.1.45,Aminocarboxymuconate-semialdehyde decarboxylase
EC:4.1.1.46,o-pyrocatechuate decarboxylase
EC:4.1.1.47,Tartronate-semialdehyde synthase
EC:4.1.1.48,Indole-3-glycerol-phosphate synthase
EC:4.1.1.49,Phosphoenolpyruvate carboxykinase (ATP)
EC:4.1.1.5,Acetolactate decarboxylase
EC:4.1.1.50,Adenosylmethionine decarboxylase
EC:4.1.1.51,"3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase"
EC:4.1.1.55,"4,5-dihydroxyphthalate decarboxylase"
EC:4.1.1.64,"2,2-dialkylglycine decarboxylase (pyruvate)"
EC:4.1.1.65,Phosphatidylserine decarboxylase
EC:4.1.1.68,"5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase"
EC:4.1.1.7,Benzoylformate decarboxylase
EC:4.1.1.70,Glutaconyl-CoA decarboxylase
EC:4.1.1.71,2-oxoglutarate decarboxylase
EC:4.1.1.73,Tartrate decarboxylase
EC:4.1.1.74,Indolepyruvate decarboxylase
EC:4.1.1.75,5-guanidino-2-oxopentanoate decarboxylase
EC:4.1.1.77,2-oxo-3-hexenedioate decarboxylase
EC:4.1.1.79,Sulfopyruvate decarboxylase
EC:4.1.1.8,Oxalyl-CoA decarboxylase
EC:4.1.1.81,Threonine-phosphate decarboxylase
EC:4.1.1.82,Phosphonopyruvate decarboxylase
EC:4.1.1.83,4-hydroxyphenylacetate decarboxylase
EC:4.1.1.85,3-dehydro-L-gulonate-6-phosphate decarboxylase
EC:4.1.1.86,Diaminobutyrate decarboxylase
EC:4.1.1.87,Malonyl-S-ACP decarboxylase
EC:4.1.1.9,Malonyl-CoA decarboxylase
EC:4.1.1.95,L-glutamyl-[BtrI acyl-carrier protein] decarboxylase
EC:4.1.1.96,Carboxynorspermidine decarboxylase
EC:4.1.1.97,2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
EC:4.1.1.98,4-hydroxy-3-polyprenylbenzoate decarboxylase
EC:4.1.2.13,Fructose-bisphosphate aldolase
EC:4.1.2.14,2-dehydro-3-deoxy-phosphogluconate aldolase
EC:4.1.2.17,L-fuculose-phosphate aldolase
EC:4.1.2.19,Rhamnulose-1-phosphate aldolase
EC:4.1.2.20,2-dehydro-3-deoxyglucarate aldolase
EC:4.1.2.21,2-dehydro-3-deoxy-6-phosphogalactonate aldolase
EC:4.1.2.22,Fructose-6-phosphate phosphoketolase
EC:4.1.2.25,Dihydroneopterin aldolase
EC:4.1.2.29,5-dehydro-2-deoxyphosphogluconate aldolase
EC:4.1.2.4,Deoxyribose-phosphate aldolase
EC:4.1.2.40,Tagatose-bisphosphate aldolase
EC:4.1.2.41,Vanillin synthase
EC:4.1.2.43,3-hexulose-6-phosphate synthase
EC:4.1.2.44,Benzoyl-CoA-dihydrodiol lyase
EC:4.1.2.5,L-threonine aldolase
EC:4.1.2.50,6-carboxytetrahydropterin synthase
EC:4.1.2.52,4-hydroxy-2-oxoheptanedioate aldolase
EC:4.1.2.53,2-keto-3-deoxy-L-rhamnonate aldolase
EC:4.1.2.56,"2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase"
EC:4.1.2.57,Sulfofructosephosphate aldolase
EC:4.1.2.9,Phosphoketolase
EC:4.1.3.1,Isocitrate lyase
EC:4.1.3.16,4-hydroxy-2-oxoglutarate aldolase
EC:4.1.3.17,4-hydroxy-4-methyl-2-oxoglutarate aldolase
EC:4.1.3.24,Malyl-CoA lyase
EC:4.1.3.25,(S)-citramalyl-CoA lyase
EC:4.1.3.27,Anthranilate synthase
EC:4.1.3.3,N-acetylneuraminate lyase
EC:4.1.3.30,Methylisocitrate lyase
EC:4.1.3.34,Citryl-CoA lyase
EC:4.1.3.36,"1,4-dihydroxy-2-naphthoyl-CoA synthase"
EC:4.1.3.38,Aminodeoxychorismate lyase
EC:4.1.3.39,4-hydroxy-2-oxovalerate aldolase
EC:4.1.3.4,Hydroxymethylglutaryl-CoA lyase
EC:4.1.3.40,Chorismate lyase
EC:4.1.3.41,3-hydroxy-D-aspartate aldolase
EC:4.1.3.42,(4S)-4-hydroxy-2-oxoglutarate aldolase
EC:4.1.3.43,4-hydroxy-2-oxohexanoate aldolase
EC:4.1.3.44,tRNA 4-demethylwyosine synthase (AdoMet-dependent)
EC:4.1.3.45,3-hydroxybenzoate synthase
EC:4.1.3.46,(R)-citramalyl-CoA lyase
EC:4.1.99.1,Tryptophanase
EC:4.1.99.12,"3,4-dihydroxy-2-butanone-4-phosphate synthase"
EC:4.1.99.14,Spore photoproduct lyase
EC:4.1.99.16,Geosmin synthase
EC:4.1.99.17,Phosphomethylpyrimidine synthase
EC:4.1.99.18,Cyclic pyranopterin phosphate synthase
EC:4.1.99.19,2-iminoacetate synthase
EC:4.1.99.2,Tyrosine phenol-lyase
EC:4.1.99.20,3-amino-4-hydroxybenzoate synthase
EC:4.1.99.3,Deoxyribodipyrimidine photo-lyase
EC:4.1.99.5,Aldehyde oxygenase (deformylating)
EC:4.2.1.1,Carbonate dehydratase
EC:4.2.1.10,3-dehydroquinate dehydratase
EC:4.2.1.100,"Cyclohexa-1,5-dienecarbonyl-CoA hydratase"
EC:4.2.1.101,Trans-feruloyl-CoA hydratase
EC:4.2.1.103,Cyclohexyl-isocyanide hydratase
EC:4.2.1.104,Cyanase
